TIMESTAMP,SYSCALL_NUMBER,PID
2025-04-12 22:28:22.460940,72,4750
2025-04-12 22:28:22.460971,72,4750
2025-04-12 22:28:22.460979,72,4750
2025-04-12 22:28:22.460992,257,4750
2025-04-12 22:28:22.461003,5,4750
2025-04-12 22:28:22.461010,9,4750
2025-04-12 22:28:22.461021,3,4750
2025-04-12 22:28:22.461051,89,4750
2025-04-12 22:28:22.461069,21,4750
2025-04-12 22:28:22.461082,21,4750
2025-04-12 22:28:22.461089,257,4750
2025-04-12 22:28:22.461100,257,4750
2025-04-12 22:28:22.461126,5,4750
2025-04-12 22:28:22.461134,1,4750
2025-04-12 22:28:22.461152,231,4750
2025-04-12 22:28:22.461261,3,4672
2025-04-12 22:28:22.461434,17,4672
2025-04-12 22:28:22.461458,17,4672
2025-04-12 22:28:22.461504,17,4672
2025-04-12 22:28:22.461514,17,4672
2025-04-12 22:28:22.461524,17,4672
2025-04-12 22:28:22.461533,17,4672
2025-04-12 22:28:22.461543,17,4672
2025-04-12 22:28:22.461550,17,4672
2025-04-12 22:28:22.461559,17,4672
2025-04-12 22:28:22.461569,17,4672
2025-04-12 22:28:22.462256,202,4672
2025-04-12 22:28:22.462456,332,4672
2025-04-12 22:28:22.462524,262,4672
2025-04-12 22:28:22.462549,262,4672
2025-04-12 22:28:22.462570,262,4672
2025-04-12 22:28:22.462591,262,4672
2025-04-12 22:28:22.462612,262,4672
2025-04-12 22:28:22.462632,262,4672
2025-04-12 22:28:22.462652,262,4672
2025-04-12 22:28:22.462673,262,4672
2025-04-12 22:28:22.462693,262,4672
2025-04-12 22:28:22.462713,262,4672
2025-04-12 22:28:22.462734,262,4672
2025-04-12 22:28:22.462754,262,4672
2025-04-12 22:28:22.462774,262,4672
2025-04-12 22:28:22.462797,262,4672
2025-04-12 22:28:22.462818,262,4672
2025-04-12 22:28:22.462832,1,4672
2025-04-12 22:28:22.462838,262,4672
2025-04-12 22:28:22.462879,1,4672
2025-04-12 22:28:22.462905,202,4672
2025-04-12 22:28:22.464434,290,4672
2025-04-12 22:28:22.464506,1,4672
2025-04-12 22:28:22.464521,7,4672
2025-04-12 22:28:22.464538,0,4672
2025-04-12 22:28:22.464599,46,4672
2025-04-12 22:28:22.464639,7,4672
2025-04-12 22:28:22.464669,7,4672
2025-04-12 22:28:22.464786,1,4672
2025-04-12 22:28:22.464806,47,4672
2025-04-12 22:28:22.464830,7,4672
2025-04-12 22:28:22.464845,47,4672
2025-04-12 22:28:22.464866,1,4672
2025-04-12 22:28:22.464885,1,4672
2025-04-12 22:28:22.464905,7,4672
2025-04-12 22:28:22.464920,0,4672
2025-04-12 22:28:22.464967,1,4672
2025-04-12 22:28:22.464989,7,4672
2025-04-12 22:28:22.465011,1,4672
2025-04-12 22:28:22.465029,7,4672
2025-04-12 22:28:22.465044,0,4672
2025-04-12 22:28:22.465058,7,4672
2025-04-12 22:28:22.465089,0,4672
2025-04-12 22:28:22.465149,1,4672
2025-04-12 22:28:22.465166,7,4672
2025-04-12 22:28:22.465167,0,4672
2025-04-12 22:28:22.465196,46,4672
2025-04-12 22:28:22.465217,7,4672
2025-04-12 22:28:22.465241,7,4672
2025-04-12 22:28:22.465277,1,4672
2025-04-12 22:28:22.465299,47,4672
